student_id,gender,age,class_level,attendance_rate,math_score,english_score,science_score,study_hours,parental_support,food_security,at_risk
STUD00044,Male,14,JSS3,98.5,94.3,57.2,61.7,20,Yes,Yes,No
STUD00045,Male,19,SS2,88.9,86.8,74.4,65.4,16,Yes,Yes,No
STUD00046,Male,17,JSS2,95.6,56.3,62.6,40.4,5,No,Yes,No
STUD00047,Male,15,SS1,88.5,57.0,37.6,74.0,18,No,Yes,No
STUD00048,Male,19,JSS2,76.3,30.0,54.0,35.6,19,Yes,Yes,Yes
STUD00049,Male,16,JSS1,71.7,72.2,54.3,21.1,24,No,Yes,No
STUD00050,Female,19,SS1,85.5,66.2,58.3,56.4,20,No,Yes,No
STUD00051,Male,12,SS1,76.6,44.5,82.1,47.5,10,Yes,No,No
STUD00052,Female,15,SS1,81.3,48.2,68.5,42.4,7,Yes,Yes,No
STUD00053,Female,14,JSS1,81.1,33.4,86.2,35.6,15,Yes,No,No
STUD00054,Male,15,JSS2,100.0,32.3,64.0,73.6,4,Yes,Yes,No
STUD00055,Male,11,JSS1,100.0,49.2,78.1,52.4,16,No,Yes,No
STUD00056,Male,10,SS2,85.1,60.8,55.7,67.3,13,Yes,Yes,No
STUD00057,Male,13,SS3,89.0,67.9,62.0,51.6,21,No,Yes,No
STUD00058,Female,10,SS3,90.0,81.5,25.5,48.2,4,Yes,Yes,No
STUD00059,Male,16,SS3,87.4,60.8,84.5,77.1,14,Yes,No,No
STUD00060,Female,18,SS3,95.4,58.3,65.1,29.7,16,No,Yes,No
STUD00061,Female,10,JSS2,86.5,52.3,45.9,49.0,10,Yes,Yes,No
STUD00062,Male,16,JSS3,89.4,45.0,54.8,42.1,2,No,Yes,No
STUD00063,Female,11,SS2,78.6,47.3,60.5,42.5,13,Yes,Yes,No
STUD00064,Male,20,JSS1,84.5,45.6,63.7,87.6,10,No,Yes,No
STUD00065,Female,13,JSS1,87.2,47.6,62.3,62.7,23,Yes,Yes,No
STUD00066,Male,17,JSS2,95.2,44.2,62.4,72.5,14,Yes,No,No
STUD00067,Female,12,JSS3,75.3,45.5,59.4,57.3,24,No,Yes,No
STUD00068,Female,18,JSS1,80.8,26.2,80.8,38.4,17,Yes,Yes,No
STUD00069,Female,17,JSS1,60.9,77.1,72.0,53.7,1,Yes,Yes,No
STUD00070,Female,14,JSS1,80.7,56.2,55.6,48.6,3,No,Yes,No
STUD00071,Female,17,JSS1,85.6,46.7,65.8,57.2,5,Yes,No,No
STUD00072,Female,15,SS3,76.3,51.5,69.4,61.1,14,Yes,Yes,No
STUD00073,Male,14,SS3,92.7,47.0,87.9,62.0,13,Yes,Yes,No
STUD00074,Male,13,SS2,77.2,60.8,50.0,52.2,22,Yes,Yes,No
STUD00075,Female,11,SS1,95.0,41.9,69.4,79.6,23,Yes,Yes,No
STUD00076,Male,10,SS2,89.5,50.3,63.2,55.7,21,Yes,Yes,No
STUD00077,Male,18,SS2,79.1,53.1,67.5,51.7,13,Yes,Yes,No
STUD00078,Male,19,JSS1,79.0,90.5,69.7,62.4,5,Yes,Yes,No
STUD00079,Male,18,JSS1,82.1,73.2,74.5,59.4,18,Yes,Yes,No
STUD00080,Male,16,JSS3,74.5,53.6,69.1,76.7,19,No,Yes,No
STUD00081,Male,15,JSS1,71.9,46.9,83.1,64.0,9,Yes,Yes,No
STUD00082,Male,13,SS2,81.8,44.3,55.8,63.7,14,Yes,Yes,No
STUD00083,Male,12,JSS3,100.0,68.3,78.5,63.4,9,Yes,Yes,No
STUD00084,Male,19,SS3,94.1,63.4,74.1,44.0,10,No,Yes,No
STUD00085,Female,14,SS2,75.5,67.5,88.3,78.2,21,Yes,Yes,No
STUD00086,Male,15,JSS3,73.1,58.0,62.8,74.4,7,Yes,Yes,No
STUD00087,Male,18,JSS2,72.9,33.5,73.5,59.1,1,Yes,Yes,No
STUD00088,Male,10,JSS3,90.7,35.5,76.5,47.5,10,Yes,Yes,No
STUD00089,Male,10,JSS1,75.4,57.4,62.0,60.4,0,Yes,Yes,No
STUD00090,Male,20,JSS3,79.6,26.0,41.9,80.0,15,Yes,Yes,No
STUD00091,Female,12,JSS2,53.2,77.5,79.4,26.9,3,Yes,No,Yes
STUD00092,Male,12,JSS2,95.0,38.8,56.9,57.0,17,No,Yes,No
STUD00093,Male,16,JSS3,93.7,41.9,54.7,65.3,0,Yes,Yes,No
STUD00094,Male,17,SS3,100.0,66.7,58.1,42.1,22,No,Yes,No
STUD00095,Male,10,SS2,65.0,88.2,44.6,45.8,1,Yes,Yes,No
STUD00096,Female,14,SS2,100.0,25.3,37.5,49.8,19,No,Yes,Yes
STUD00097,Male,19,SS3,96.7,59.5,57.3,78.2,18,Yes,Yes,No
STUD00098,Female,18,JSS1,87.1,57.1,62.3,63.2,12,No,Yes,No
STUD00099,Female,11,SS2,84.9,81.7,59.9,47.8,5,No,Yes,No
STUD00100,Female,15,SS2,74.2,45.4,49.3,70.7,12,No,Yes,No
STUD00101,Male,10,JSS2,100.0,52.1,36.0,43.2,21,No,Yes,Yes
STUD00102,Female,12,JSS2,94.9,58.0,72.5,80.5,21,Yes,Yes,No
STUD00103,Female,15,SS2,63.9,58.0,44.8,60.2,19,Yes,Yes,No
STUD00104,Male,20,JSS2,79.2,96.8,44.2,38.1,0,Yes,Yes,No
STUD00105,Female,18,JSS3,91.0,68.5,46.8,71.9,1,Yes,Yes,No
STUD00106,Male,20,JSS1,69.2,56.4,76.9,59.8,7,Yes,Yes,No
STUD00107,Male,15,SS3,100.0,76.5,64.0,52.3,9,Yes,No,No
STUD00108,Female,14,SS3,72.0,76.9,61.4,68.2,19,No,Yes,No
STUD00109,Female,16,JSS1,69.7,82.6,50.0,99.1,2,No,Yes,No
STUD00110,Male,16,SS1,100.0,65.1,90.6,65.3,12,Yes,No,No
STUD00111,Female,11,JSS3,86.0,77.0,54.8,79.1,20,Yes,Yes,No
STUD00112,Female,18,JSS2,81.8,49.4,86.3,60.5,16,Yes,Yes,No
STUD00113,Female,11,SS1,93.0,85.8,68.4,54.3,14,Yes,Yes,No
STUD00114,Female,13,SS1,91.8,35.5,73.6,61.1,1,Yes,No,No
STUD00115,Male,17,SS1,79.3,69.6,60.2,50.5,8,Yes,Yes,No
STUD00116,Female,14,SS2,70.0,69.1,97.0,65.0,16,Yes,Yes,No
STUD00117,Female,11,SS3,100.0,49.3,30.6,44.8,8,Yes,No,Yes
STUD00118,Female,18,JSS1,74.8,61.7,37.5,39.1,7,No,Yes,No
STUD00119,Female,15,SS2,93.3,43.0,13.3,44.9,18,No,Yes,Yes
STUD00120,Female,17,JSS3,89.9,70.2,77.4,59.0,0,Yes,Yes,No
STUD00121,Male,20,SS2,97.8,78.7,81.4,67.7,6,No,No,No
STUD00122,Male,12,JSS2,80.6,46.7,52.3,65.4,3,Yes,Yes,No
STUD00123,Female,16,JSS2,94.8,36.2,62.3,59.3,1,Yes,Yes,No
STUD00124,Male,15,JSS3,88.0,85.2,60.7,62.2,14,No,Yes,No
STUD00125,Female,13,SS1,82.8,53.5,56.9,60.6,9,Yes,Yes,No
STUD00126,Female,20,JSS2,89.4,51.6,60.2,27.5,18,Yes,Yes,No
STUD00127,Female,11,SS2,86.1,78.7,54.4,71.2,1,No,Yes,No
STUD00128,Male,20,JSS3,92.8,58.4,87.9,41.9,5,No,Yes,No
STUD00129,Male,10,JSS2,82.1,65.6,44.5,79.7,14,Yes,Yes,No
STUD00130,Female,18,JSS1,100.0,20.3,69.2,54.1,2,Yes,Yes,No
STUD00131,Female,16,JSS1,67.9,69.7,41.2,62.7,21,Yes,Yes,No
STUD00132,Female,17,JSS3,100.0,53.8,66.6,56.9,5,Yes,Yes,No
STUD00133,Male,15,JSS1,84.7,50.9,58.3,52.0,24,Yes,Yes,No
STUD00134,Female,15,SS1,91.3,88.5,49.7,58.6,12,Yes,Yes,No
STUD00135,Female,15,JSS2,96.0,68.8,63.4,53.9,7,Yes,Yes,No
STUD00136,Female,18,SS3,100.0,84.4,67.2,55.4,7,No,Yes,No
STUD00137,Female,20,JSS3,86.4,75.2,59.2,77.8,2,Yes,Yes,No
STUD00138,Female,20,JSS2,72.6,51.5,70.7,74.9,18,Yes,Yes,No
STUD00139,Male,15,SS2,71.5,69.0,55.0,61.2,14,Yes,Yes,No
STUD00140,Female,14,JSS2,79.2,85.2,44.8,36.0,19,Yes,Yes,No
STUD00141,Male,18,SS1,84.0,54.0,83.1,82.6,3,Yes,Yes,No
STUD00142,Male,19,SS3,69.7,35.2,79.4,56.1,0,Yes,Yes,No
STUD00143,Female,16,JSS2,88.9,55.3,38.9,57.2,14,Yes,Yes,No
STUD00144,Female,11,SS3,69.1,77.2,76.7,53.6,4,Yes,Yes,No
STUD00145,Female,13,SS2,75.8,47.8,59.9,72.9,15,Yes,Yes,No
STUD00146,Female,18,JSS1,100.0,39.8,43.8,35.3,10,No,Yes,Yes
STUD00147,Male,10,JSS1,79.4,88.7,64.4,74.3,19,Yes,Yes,No
STUD00148,Male,14,SS1,86.8,52.4,53.3,49.9,4,Yes,Yes,No
STUD00149,Female,19,SS1,96.0,65.5,76.0,14.6,17,Yes,Yes,No
STUD00150,Male,13,JSS2,92.4,43.1,53.3,86.7,4,No,Yes,No
STUD00151,Male,16,JSS2,83.8,59.6,71.4,50.2,14,Yes,Yes,No
STUD00152,Female,18,SS3,87.2,72.0,73.7,85.2,1,No,Yes,No
STUD00153,Male,10,JSS1,81.9,51.9,66.2,46.2,5,Yes,Yes,No
STUD00154,Female,11,JSS2,80.6,72.0,57.5,72.2,21,Yes,Yes,No
STUD00155,Male,19,SS2,95.5,25.5,76.9,91.7,2,Yes,Yes,No
STUD00156,Male,17,SS3,100.0,71.2,100.0,58.5,7,Yes,Yes,No
STUD00157,Male,19,JSS1,68.3,33.7,76.3,94.6,14,Yes,Yes,No
STUD00158,Female,11,SS1,94.1,64.5,63.5,57.1,14,Yes,Yes,No
STUD00159,Male,11,SS3,64.7,58.4,48.2,41.4,14,Yes,Yes,No
STUD00160,Female,13,SS3,73.1,75.1,48.2,54.6,10,Yes,No,No
STUD00161,Male,16,JSS1,65.9,67.0,61.7,66.3,6,No,Yes,No
STUD00162,Male,19,JSS3,100.0,66.6,70.1,75.4,23,Yes,Yes,No
STUD00163,Female,17,JSS1,94.0,48.8,73.2,49.6,6,No,Yes,No
STUD00164,Female,19,JSS1,71.3,56.0,69.0,52.6,0,Yes,Yes,No
STUD00165,Female,14,JSS3,96.6,95.4,54.2,37.5,24,Yes,No,No
STUD00166,Male,16,SS2,77.6,90.3,85.9,51.8,10,No,Yes,No
STUD00167,Male,13,JSS2,93.2,55.6,51.5,71.0,4,No,Yes,No
STUD00168,Female,10,JSS3,98.9,35.2,79.3,54.8,4,Yes,Yes,No
STUD00169,Female,15,JSS2,71.9,71.7,43.0,55.2,1,No,Yes,No
STUD00170,Male,12,JSS2,61.6,49.9,50.5,60.4,4,Yes,Yes,No
STUD00171,Male,16,JSS2,83.7,45.5,51.7,76.5,11,No,Yes,No
STUD00172,Female,16,SS1,95.4,72.2,72.8,40.7,19,Yes,Yes,No
STUD00173,Male,10,SS2,91.0,69.3,47.0,44.7,1,Yes,Yes,No
STUD00174,Male,18,JSS1,74.8,34.4,92.2,41.0,22,Yes,Yes,No
STUD00175,Male,15,SS1,80.4,67.4,55.9,75.5,23,Yes,Yes,No
STUD00176,Male,16,SS1,78.4,75.7,72.0,59.8,1,Yes,No,No
STUD00177,Female,10,SS3,88.4,58.2,69.1,73.0,1,Yes,Yes,No
STUD00178,Male,13,SS2,91.1,60.9,36.8,48.3,13,No,Yes,No
STUD00179,Male,15,SS2,85.6,56.3,43.6,34.6,4,No,Yes,Yes
STUD00180,Female,20,JSS2,86.8,54.6,53.4,53.5,15,No,Yes,No
STUD00181,Female,16,JSS1,76.2,48.8,68.9,42.6,5,Yes,Yes,No
STUD00182,Female,12,JSS3,99.5,54.9,74.3,69.4,22,Yes,Yes,No
STUD00183,Female,15,SS2,78.4,66.3,41.3,60.8,20,No,Yes,No
STUD00184,Male,11,SS2,84.8,69.3,63.7,43.4,20,No,Yes,No
STUD00185,Female,13,JSS2,99.0,46.2,29.8,51.3,19,No,Yes,Yes
STUD00186,Female,10,JSS1,88.5,48.3,59.2,52.3,17,Yes,No,No
STUD00187,Male,20,JSS2,73.6,25.4,67.1,54.1,22,Yes,Yes,No
STUD00188,Female,10,SS2,94.5,79.6,60.3,59.4,16,No,Yes,No
STUD00189,Female,13,JSS3,77.7,79.1,79.4,25.0,21,No,Yes,No
STUD00190,Female,10,JSS1,82.5,58.1,61.6,66.6,17,Yes,Yes,No
STUD00191,Male,17,JSS2,100.0,88.8,72.4,66.9,1,Yes,Yes,No
STUD00192,Female,11,JSS1,72.5,28.5,90.8,41.5,21,Yes,No,No
STUD00193,Female,12,SS3,70.5,78.2,57.1,66.2,14,Yes,Yes,No
STUD00194,Male,17,SS3,95.7,71.8,47.5,65.5,21,No,Yes,No
STUD00195,Female,11,JSS2,89.8,49.6,54.6,66.8,18,Yes,Yes,No
STUD00196,Female,20,SS2,87.9,100.0,69.9,31.6,6,Yes,No,No
STUD00197,Male,17,JSS2,100.0,64.0,69.5,63.1,3,Yes,Yes,No
STUD00198,Female,11,JSS3,98.2,46.3,68.1,75.8,1,Yes,Yes,No
STUD00199,Female,13,SS3,87.8,63.8,73.6,70.0,19,Yes,Yes,No
STUD00200,Male,15,JSS3,100.0,53.6,65.1,72.0,4,No,Yes,No
STUD00201,Male,14,JSS2,66.7,80.2,54.3,96.4,13,No,Yes,No
STUD00202,Female,16,SS1,100.0,79.3,76.3,66.9,18,Yes,Yes,No
STUD00203,Female,17,SS2,91.6,52.1,29.7,63.5,22,No,Yes,No
STUD00204,Male,13,JSS1,100.0,70.1,47.7,85.8,3,Yes,Yes,No
STUD00205,Male,15,SS3,95.2,74.0,67.0,58.7,2,Yes,Yes,No
STUD00206,Female,15,SS2,90.1,63.2,56.2,65.9,4,No,Yes,No
STUD00207,Male,14,JSS2,86.9,65.3,55.2,60.1,6,Yes,Yes,No
STUD00208,Male,13,SS3,81.7,44.0,61.2,70.2,20,Yes,Yes,No
STUD00209,Female,15,SS1,73.6,44.7,47.0,29.0,24,No,Yes,Yes
STUD00210,Male,13,JSS3,86.2,41.9,37.3,42.6,14,Yes,Yes,Yes
STUD00211,Female,17,SS2,83.7,50.3,74.4,44.2,20,Yes,Yes,No
STUD00212,Female,14,JSS1,90.6,59.4,39.4,75.5,8,Yes,Yes,No
STUD00213,Male,19,JSS1,87.4,78.4,47.8,58.9,1,Yes,Yes,No
STUD00214,Male,15,JSS1,75.1,61.4,47.0,14.2,20,Yes,Yes,Yes
STUD00215,Male,11,JSS2,56.6,43.8,70.7,88.9,23,No,Yes,Yes
STUD00216,Male,19,JSS3,77.2,47.2,55.2,43.7,13,No,Yes,No
STUD00217,Female,14,SS3,79.0,49.0,63.2,67.6,16,Yes,Yes,No
STUD00218,Female,12,SS1,82.8,100.0,66.2,46.7,24,Yes,Yes,No
STUD00219,Male,12,JSS3,86.4,37.0,74.9,48.0,3,Yes,Yes,No
STUD00220,Male,17,JSS2,90.8,46.5,53.0,73.4,2,Yes,No,No
STUD00221,Male,17,SS3,81.0,53.5,48.6,64.4,3,No,No,No
STUD00222,Male,18,SS1,74.7,78.3,61.9,62.5,20,No,Yes,No
STUD00223,Female,15,JSS2,70.7,55.9,62.5,54.0,0,Yes,Yes,No
STUD00224,Female,14,JSS3,89.1,55.3,64.4,77.8,18,No,No,No
STUD00225,Female,18,SS2,93.8,50.9,63.0,73.6,15,No,Yes,No
STUD00226,Female,10,SS2,95.3,57.3,51.0,67.1,10,No,Yes,No
STUD00227,Female,10,SS2,90.2,66.1,55.2,62.5,2,No,Yes,No
STUD00228,Male,15,JSS1,95.4,54.0,53.7,39.8,20,Yes,Yes,No
STUD00229,Female,13,SS3,82.6,64.8,66.0,69.2,5,No,Yes,No
STUD00230,Male,11,SS3,98.3,58.1,31.6,70.7,13,Yes,Yes,No
STUD00231,Female,17,SS3,82.3,66.7,55.9,69.3,18,No,Yes,No
STUD00232,Female,13,SS2,95.7,51.6,71.2,52.2,13,Yes,Yes,No
STUD00233,Female,17,JSS1,62.4,55.3,39.5,69.7,13,No,Yes,No
STUD00234,Female,17,JSS2,96.4,87.4,60.5,55.5,16,Yes,Yes,No
STUD00235,Male,11,SS2,76.2,60.6,66.9,75.5,0,No,Yes,No
STUD00236,Male,13,JSS3,92.8,100.0,36.7,47.7,11,Yes,Yes,No
STUD00237,Male,19,SS1,100.0,42.2,79.1,84.2,18,Yes,Yes,No
STUD00238,Female,13,SS3,74.2,45.1,66.9,57.7,7,Yes,Yes,No
STUD00239,Male,11,JSS1,86.3,52.5,59.3,62.6,9,No,Yes,No
STUD00240,Male,12,SS3,66.9,72.2,63.2,36.1,5,No,Yes,No
STUD00241,Female,20,SS1,81.3,48.0,66.5,78.1,9,Yes,No,No
STUD00242,Male,17,SS2,95.2,50.8,76.5,59.3,22,No,Yes,No
STUD00243,Male,12,JSS3,80.2,49.6,42.7,30.1,11,No,Yes,Yes
STUD00244,Male,10,SS2,93.3,66.7,56.7,66.6,3,Yes,Yes,No
STUD00245,Female,14,JSS3,98.6,95.2,59.1,70.9,18,Yes,No,No
STUD00246,Male,18,JSS2,99.1,32.3,64.9,69.4,2,No,Yes,No
STUD00247,Female,15,JSS3,71.3,61.7,61.5,54.9,2,Yes,Yes,No
STUD00248,Male,19,SS2,86.9,43.6,79.7,45.0,24,Yes,Yes,No
STUD00249,Male,11,SS1,70.7,74.7,76.0,47.9,11,No,Yes,No
STUD00250,Female,18,JSS3,63.0,78.7,84.2,69.7,0,Yes,Yes,No
STUD00251,Female,14,SS1,83.1,66.9,29.1,63.0,2,Yes,Yes,No
STUD00252,Female,20,JSS1,99.7,61.8,83.2,88.5,3,Yes,No,No
STUD00253,Female,17,JSS3,71.6,61.6,60.4,55.6,10,Yes,Yes,No
STUD00254,Female,15,JSS3,84.5,41.1,62.6,57.2,4,No,Yes,No
STUD00255,Male,15,SS1,85.2,62.5,64.8,46.3,19,Yes,No,No
STUD00256,Female,13,SS2,87.2,41.1,84.0,61.8,22,Yes,Yes,No
STUD00257,Female,12,JSS2,83.0,52.4,34.3,69.2,23,No,Yes,No
STUD00258,Female,20,SS1,88.5,74.4,89.4,74.9,4,No,Yes,No
STUD00259,Male,10,SS2,66.7,63.9,65.7,84.5,11,Yes,Yes,No
STUD00260,Male,14,JSS1,80.7,91.5,62.3,67.8,11,Yes,No,No
STUD00261,Male,16,JSS2,100.0,40.1,36.6,87.0,10,No,Yes,No
STUD00262,Male,12,SS2,84.3,64.6,69.3,67.7,3,No,Yes,No
STUD00263,Male,18,SS1,72.7,47.3,46.6,45.3,4,Yes,Yes,No
STUD00264,Male,16,JSS2,100.0,56.1,75.3,74.5,9,Yes,Yes,No
STUD00265,Female,11,JSS1,74.3,49.1,54.5,70.8,6,Yes,Yes,No
STUD00266,Male,10,SS2,90.6,67.8,66.9,68.1,7,Yes,Yes,No
STUD00267,Female,13,SS3,100.0,72.6,86.2,68.1,12,No,Yes,No
STUD00268,Female,11,JSS1,100.0,60.0,59.5,59.2,1,No,Yes,No
STUD00269,Male,11,JSS3,95.0,56.9,58.3,27.9,0,Yes,Yes,No
STUD00270,Male,14,JSS3,100.0,39.1,19.7,60.8,9,No,Yes,Yes
STUD00271,Female,11,SS3,66.2,56.5,46.8,42.8,3,Yes,Yes,No
STUD00272,Female,16,SS3,73.4,75.0,49.8,54.8,16,Yes,Yes,No
STUD00273,Female,15,SS3,87.3,74.4,33.0,51.6,11,No,Yes,No
STUD00274,Male,18,JSS1,87.2,43.2,64.9,73.9,17,No,Yes,No
STUD00275,Male,15,SS1,76.0,65.5,63.1,49.7,24,No,Yes,No
STUD00276,Male,14,SS2,83.0,63.2,52.8,52.1,3,No,Yes,No
STUD00277,Male,13,JSS3,85.0,44.5,75.8,53.4,2,Yes,Yes,No
STUD00278,Female,12,SS1,87.6,38.8,84.7,48.7,8,No,Yes,No
STUD00279,Female,15,JSS1,92.8,72.1,60.6,51.5,7,No,Yes,No
STUD00280,Female,15,SS1,86.7,54.6,96.5,43.1,20,Yes,Yes,No
STUD00281,Male,10,SS3,87.8,83.7,66.2,48.5,12,Yes,Yes,No
STUD00282,Female,10,SS1,74.7,79.1,58.4,64.7,10,No,Yes,No
STUD00283,Female,15,JSS1,97.6,48.4,63.7,81.2,11,Yes,Yes,No
STUD00284,Male,18,JSS2,81.9,39.4,45.1,38.8,22,Yes,Yes,Yes
STUD00285,Female,20,SS2,87.0,60.8,64.4,61.7,24,Yes,Yes,No
STUD00286,Male,13,JSS3,88.7,62.4,53.3,94.1,22,No,Yes,No
STUD00287,Female,18,SS2,100.0,66.9,73.8,87.7,21,Yes,Yes,No
STUD00288,Female,16,JSS2,71.4,45.0,62.3,63.7,3,Yes,Yes,No
STUD00289,Male,10,JSS1,83.2,66.7,66.2,84.2,8,No,Yes,No
STUD00290,Female,14,SS1,75.0,93.4,39.5,60.8,20,No,Yes,No
STUD00291,Female,15,SS3,100.0,29.7,54.1,56.8,5,Yes,Yes,No
STUD00292,Male,10,JSS1,79.8,69.4,39.6,64.9,24,No,Yes,No
STUD00293,Female,15,JSS2,90.1,60.3,53.0,65.3,7,No,Yes,No
STUD00294,Female,10,JSS3,73.5,67.6,82.8,63.3,21,Yes,Yes,No
STUD00295,Female,14,SS1,70.0,69.7,74.4,51.2,7,No,Yes,No
STUD00296,Male,18,SS2,100.0,56.0,57.0,48.3,23,No,No,No
STUD00297,Male,18,SS2,100.0,55.1,60.8,47.9,13,Yes,No,No
STUD00298,Male,13,SS2,100.0,40.1,52.1,49.0,12,No,Yes,No
STUD00299,Male,20,JSS1,87.6,57.0,40.4,87.8,18,Yes,Yes,No
STUD00300,Male,12,SS2,94.4,55.4,81.8,51.9,9,No,Yes,No
STUD00301,Male,17,JSS1,94.0,34.0,63.3,53.3,3,Yes,No,No
STUD00302,Male,12,JSS3,79.3,75.3,76.5,69.1,9,No,Yes,No
STUD00303,Male,16,SS2,78.1,33.3,71.7,19.6,4,No,Yes,Yes
STUD00304,Male,15,SS2,72.6,48.0,79.0,70.3,4,No,Yes,No
STUD00305,Female,14,JSS1,74.8,45.2,57.0,45.6,14,No,No,No
STUD00306,Female,15,SS2,70.9,62.3,43.9,31.0,9,No,Yes,No
STUD00307,Male,18,JSS1,92.8,36.0,76.7,43.0,20,Yes,Yes,No
STUD00308,Male,18,JSS3,92.3,57.1,69.5,71.3,6,Yes,No,No
STUD00309,Male,19,SS2,79.9,70.8,54.5,66.1,12,Yes,Yes,No
STUD00310,Male,12,JSS1,97.7,75.0,70.9,59.3,0,Yes,Yes,No
STUD00311,Female,13,JSS2,88.1,54.8,77.1,63.4,22,Yes,Yes,No
STUD00312,Male,15,JSS1,100.0,90.8,37.1,48.2,15,No,Yes,No
STUD00313,Female,12,JSS3,73.0,55.5,46.4,42.8,23,No,Yes,No
STUD00314,Female,16,SS3,98.3,91.0,63.0,48.4,20,Yes,Yes,No
STUD00315,Male,15,JSS1,97.1,57.0,42.0,67.0,0,Yes,Yes,No
STUD00316,Male,15,SS2,87.0,59.4,71.8,70.8,22,Yes,Yes,No
STUD00317,Female,17,SS1,73.4,44.7,66.8,57.3,9,Yes,No,No
STUD00318,Male,18,SS2,89.1,39.4,63.3,36.3,6,Yes,Yes,No
STUD00319,Male,12,JSS2,96.4,39.4,63.2,63.9,6,Yes,No,No
STUD00320,Female,20,JSS1,87.4,47.0,83.0,76.7,20,Yes,No,No
STUD00321,Male,20,JSS2,100.0,51.1,72.9,95.9,1,No,No,No
STUD00322,Female,18,JSS2,69.4,68.1,70.4,77.5,24,Yes,Yes,No
STUD00323,Male,13,JSS1,93.4,61.1,72.1,44.6,13,Yes,Yes,No
STUD00324,Female,15,JSS1,100.0,59.8,72.2,53.2,20,No,Yes,No
STUD00325,Male,13,SS2,51.2,69.3,89.5,66.1,17,No,Yes,Yes
STUD00326,Male,14,SS1,76.6,46.1,85.9,53.5,0,No,Yes,No
