student_id,gender,age,class_level,attendance_rate,math_score,english_score,science_score,prev_math_score,prev_english_score,prev_science_score,study_hours,parental_support,food_security,at_risk
STUD00153,Male,15,SS1,85.2,46.2,76.0,42.2,47.1,79.2,44.6,13,No,Yes,No
STUD00154,Female,14,SS3,73.6,47.1,64.4,67.7,50.5,61.2,59.8,1,Yes,Yes,No
STUD00155,Female,10,JSS2,73.3,63.1,73.6,38.5,57.9,67.1,47.6,8,Yes,Yes,No
STUD00156,Male,18,SS3,87.4,40.3,77.0,63.7,39.7,73.8,65.8,2,No,Yes,No
STUD00157,Female,10,SS1,78.4,51.8,69.7,36.2,50.3,70.7,39.9,8,No,Yes,No
STUD00158,Female,10,SS2,87.4,44.2,62.3,83.4,42.1,57.4,70.4,24,No,Yes,No
STUD00159,Female,14,JSS3,89.1,54.4,73.4,76.4,53.6,78.4,69.8,11,Yes,Yes,No
STUD00160,Female,12,SS1,83.6,40.5,74.5,50.1,43.0,71.8,51.9,19,No,Yes,No
STUD00161,Female,19,JSS3,99.6,85.8,56.0,50.2,80.8,54.0,54.7,15,Yes,Yes,No
STUD00162,Female,16,SS3,88.9,54.6,56.8,77.9,52.0,52.9,72.9,24,Yes,Yes,No
STUD00163,Male,12,JSS1,97.3,41.9,63.3,67.2,38.2,69.3,65.8,22,Yes,Yes,No
STUD00164,Female,15,SS3,92.8,65.6,63.2,47.8,60.1,63.5,52.6,24,Yes,Yes,No
STUD00165,Female,16,SS3,79.8,70.2,68.9,51.4,69.3,64.4,48.2,13,Yes,Yes,No
STUD00166,Female,17,JSS1,80.4,28.2,41.4,64.3,29.7,37.5,68.7,3,Yes,No,Yes
STUD00167,Female,18,SS2,95.8,64.9,51.3,45.3,61.2,50.9,48.9,19,Yes,Yes,No
STUD00168,Male,18,SS2,85.4,40.6,43.8,72.3,41.2,46.2,73.6,18,Yes,Yes,No
STUD00169,Female,13,SS3,74.2,45.8,56.6,35.4,44.0,59.7,34.9,7,Yes,Yes,No
STUD00170,Male,10,JSS3,79.4,58.6,44.1,52.4,64.8,47.5,52.3,13,Yes,Yes,No
STUD00171,Female,10,JSS2,56.4,33.9,38.3,66.8,36.4,41.2,66.1,6,Yes,Yes,Yes
STUD00172,Female,20,SS3,100.0,39.8,26.8,61.0,47.4,34.8,58.5,11,No,Yes,Yes
STUD00173,Female,16,SS1,79.2,68.3,71.2,32.7,60.2,72.6,43.4,18,Yes,Yes,No
STUD00174,Male,10,SS1,76.4,51.4,64.6,47.9,54.6,62.4,40.8,10,Yes,Yes,No
STUD00175,Male,15,JSS1,96.4,59.2,59.3,56.2,62.3,65.1,56.4,2,Yes,Yes,No
STUD00176,Male,19,SS2,82.5,55.3,73.4,69.7,60.4,77.7,67.6,21,No,Yes,No
STUD00177,Male,16,JSS1,97.0,54.9,57.9,57.7,47.9,56.5,58.4,7,No,Yes,No
STUD00178,Male,18,SS3,94.7,79.1,42.7,39.6,73.5,44.7,40.6,23,No,No,No
STUD00179,Male,19,SS1,100.0,46.2,63.5,71.9,50.5,62.9,70.6,5,Yes,Yes,No
STUD00180,Male,11,SS2,98.9,41.8,57.6,56.8,41.3,58.4,53.1,18,Yes,Yes,No
STUD00181,Male,14,SS3,85.6,50.2,26.5,39.2,57.2,39.7,39.1,12,Yes,Yes,Yes
STUD00182,Male,15,SS1,86.9,59.7,42.9,61.1,57.7,42.2,63.5,2,Yes,Yes,No
STUD00183,Male,19,JSS1,100.0,62.5,46.7,58.8,59.3,52.9,57.2,3,Yes,No,No
STUD00184,Female,11,SS3,80.7,93.0,47.4,51.8,87.4,53.7,54.6,3,No,Yes,No
STUD00185,Male,14,JSS2,88.2,82.7,60.6,65.7,84.5,63.9,66.4,15,Yes,Yes,No
STUD00186,Female,16,JSS2,70.9,93.8,44.3,65.6,100.0,34.6,64.6,18,Yes,No,No
STUD00187,Female,20,JSS2,100.0,46.9,66.2,48.0,40.5,65.3,54.9,7,Yes,No,No
STUD00188,Male,14,SS2,96.6,75.2,66.5,80.1,71.3,61.1,73.5,11,No,Yes,No
STUD00189,Female,18,SS3,96.4,69.3,64.0,64.6,65.7,67.2,60.6,8,No,Yes,No
STUD00190,Female,17,JSS1,94.1,48.5,57.3,78.7,43.6,66.6,69.3,1,Yes,Yes,No
STUD00191,Female,11,JSS1,100.0,57.2,60.3,40.8,58.0,61.2,45.8,6,Yes,Yes,No
STUD00192,Female,16,JSS3,75.8,57.2,68.4,42.8,58.9,62.4,49.7,24,Yes,No,No
STUD00193,Male,19,JSS2,87.6,79.5,83.2,46.8,77.3,91.1,52.2,3,Yes,Yes,No
STUD00194,Female,16,SS3,72.8,48.2,46.7,59.2,43.5,47.8,62.3,17,Yes,Yes,No
STUD00195,Male,17,JSS2,60.1,52.5,46.3,59.4,51.6,45.3,68.8,23,No,Yes,No
STUD00196,Female,16,JSS2,70.7,69.6,71.0,46.6,69.1,66.5,49.6,10,No,No,No
STUD00197,Female,20,JSS1,89.8,59.4,35.6,47.3,60.4,35.6,42.4,2,Yes,Yes,No
STUD00198,Female,12,SS1,81.3,54.7,79.6,65.5,61.3,82.7,67.1,21,No,Yes,No
STUD00199,Male,16,SS2,83.8,52.2,67.6,47.1,51.5,55.2,42.1,21,Yes,Yes,No
STUD00200,Male,19,SS3,91.2,61.5,71.1,49.8,62.4,67.0,43.8,11,Yes,Yes,No
STUD00201,Male,18,SS1,83.7,49.3,77.6,41.8,50.7,81.9,45.6,14,No,Yes,No
STUD00202,Female,16,SS2,86.6,72.5,62.7,87.2,76.7,68.8,78.0,20,Yes,No,No
STUD00203,Male,12,JSS1,100.0,52.9,68.7,51.3,60.7,71.0,49.8,1,Yes,Yes,No
STUD00204,Female,16,SS1,91.8,59.5,39.3,48.5,58.3,42.4,50.1,24,No,Yes,No
STUD00205,Male,14,SS1,100.0,38.7,41.2,66.0,42.8,42.4,61.1,8,No,Yes,No
STUD00206,Female,14,SS1,84.1,55.9,38.4,81.3,45.5,37.5,81.3,4,Yes,No,No
STUD00207,Female,11,SS3,58.5,73.9,54.1,54.7,81.0,56.3,62.7,24,No,Yes,Yes
STUD00208,Female,15,JSS2,90.5,64.5,53.5,77.5,64.4,51.0,78.5,14,Yes,Yes,No
STUD00209,Male,20,SS1,100.0,61.8,53.7,67.3,63.3,60.0,62.9,7,No,Yes,No
STUD00210,Male,18,SS2,79.6,88.3,51.7,63.8,89.5,55.0,64.7,18,Yes,Yes,No
STUD00211,Male,10,JSS3,100.0,39.7,70.7,55.4,49.0,74.1,65.3,3,No,No,No
STUD00212,Female,13,SS1,95.7,49.7,48.3,74.3,45.9,44.8,76.9,23,Yes,Yes,No
STUD00213,Female,12,JSS3,82.4,48.4,45.4,53.5,41.3,52.5,57.8,15,No,Yes,No
STUD00214,Male,20,SS1,72.6,66.3,46.9,70.4,68.2,47.4,66.7,23,No,Yes,No
STUD00215,Male,10,SS2,78.1,36.5,20.5,36.5,33.0,24.2,41.7,18,Yes,Yes,Yes
STUD00216,Female,15,JSS3,76.0,80.4,62.1,35.2,76.3,56.5,41.2,24,Yes,Yes,No
STUD00217,Male,20,SS3,68.5,52.3,80.2,49.0,51.0,82.0,41.5,1,No,Yes,No
STUD00218,Male,19,SS3,78.9,60.2,69.7,51.3,67.8,74.7,50.0,0,No,Yes,No
STUD00219,Male,18,JSS2,98.0,77.0,64.4,64.9,72.9,59.0,67.0,8,Yes,Yes,No
STUD00220,Female,13,SS1,93.1,74.8,72.2,42.8,69.1,82.9,52.6,3,No,Yes,No
STUD00221,Female,10,JSS3,80.2,64.9,77.7,94.5,62.5,77.5,93.0,7,Yes,Yes,No
STUD00222,Male,15,SS2,100.0,62.0,82.2,64.8,60.8,74.8,67.6,24,No,Yes,No
STUD00223,Female,16,JSS3,68.9,66.3,53.8,50.0,68.2,54.1,51.9,5,Yes,Yes,No
STUD00224,Female,14,SS3,69.6,40.7,53.5,49.4,47.1,56.6,48.4,14,Yes,No,No
STUD00225,Female,15,SS3,93.1,70.0,59.7,55.0,67.9,57.6,54.4,8,No,Yes,No
STUD00226,Male,10,JSS3,73.7,46.2,77.7,71.5,46.0,65.5,64.7,23,No,No,No
STUD00227,Male,16,JSS3,78.4,62.3,72.3,69.8,53.9,78.8,65.8,0,No,Yes,No
STUD00228,Male,13,JSS3,71.2,74.6,69.4,53.4,73.3,67.7,60.1,1,Yes,Yes,No
STUD00229,Male,10,SS2,66.6,68.6,64.8,53.5,65.7,59.1,50.7,15,No,Yes,No
STUD00230,Male,15,JSS2,72.8,59.5,62.3,41.3,61.4,58.2,49.3,8,Yes,No,No
STUD00231,Female,10,JSS3,69.5,65.8,65.2,48.0,68.3,63.7,52.0,4,Yes,No,No
STUD00232,Male,11,JSS3,76.7,58.2,42.3,63.3,64.9,35.9,65.0,18,Yes,Yes,No
STUD00233,Female,12,JSS2,64.9,57.4,83.6,51.7,59.4,80.6,47.4,0,No,Yes,No
STUD00234,Female,20,SS2,80.3,71.8,76.9,97.1,73.0,74.8,97.4,10,No,Yes,No
STUD00235,Female,15,JSS3,69.5,56.1,80.4,51.2,64.4,82.8,54.6,2,Yes,Yes,No
STUD00236,Male,15,SS3,74.2,53.6,76.8,58.6,58.6,72.0,52.3,3,Yes,Yes,No
STUD00237,Female,20,JSS2,59.3,71.2,50.1,62.3,66.0,53.5,68.1,9,Yes,Yes,Yes
STUD00238,Male,14,SS2,68.6,63.3,40.5,64.7,74.0,40.4,60.4,16,Yes,Yes,No
STUD00239,Female,18,SS3,80.6,38.4,49.9,31.7,30.5,51.1,23.7,20,No,Yes,Yes
STUD00240,Female,15,SS3,79.4,41.1,55.4,88.7,47.4,57.0,86.5,13,Yes,Yes,No
STUD00241,Male,12,SS3,97.3,81.4,43.0,55.7,89.3,33.7,60.1,17,Yes,Yes,No
STUD00242,Male,11,SS2,91.4,43.2,48.3,41.3,42.8,47.0,43.4,16,Yes,Yes,Yes
STUD00243,Male,12,JSS2,52.8,61.7,59.4,62.0,61.9,49.3,67.5,24,No,Yes,Yes
STUD00244,Female,10,SS2,95.1,65.1,29.9,59.0,63.4,30.8,51.9,18,No,Yes,No
STUD00245,Male,12,JSS3,82.8,46.1,75.7,56.5,47.5,73.2,55.6,12,Yes,Yes,No
STUD00246,Female,13,SS2,78.3,33.0,45.2,46.0,29.9,51.1,46.9,3,Yes,Yes,Yes
STUD00247,Female,20,JSS3,98.3,50.0,70.9,49.9,51.9,74.7,58.2,4,Yes,Yes,No
STUD00248,Female,19,SS1,100.0,59.8,83.1,46.8,64.1,79.6,49.2,5,No,No,No
STUD00249,Male,12,SS2,94.4,72.0,75.1,34.2,62.7,75.5,39.2,7,Yes,Yes,No
STUD00250,Male,20,JSS2,96.2,70.0,40.9,55.5,70.8,40.8,57.9,11,Yes,Yes,No
STUD00251,Female,10,SS3,71.9,72.2,61.9,46.4,71.4,67.7,43.4,12,No,Yes,No
STUD00252,Female,16,SS2,73.6,69.4,53.2,55.7,66.3,50.2,58.4,11,Yes,Yes,No
STUD00253,Male,15,SS3,96.2,57.2,77.4,54.3,54.9,75.6,61.1,23,Yes,No,No
